Country,Region,Zone,ISO3,Admin2 Pcode,Admin1 Pcode,Events,date
Ethiopia,Somali,Korahe,ETH,ET0505,ET05,1,2018-05-01
Ethiopia,Tigray,Western Tigray,ETH,ET0105,ET01,0,2018-05-01
Ethiopia,Afar,Fanti-Zone 4,ETH,ET0204,ET02,0,2018-05-01
Ethiopia,Afar,Kilbati-Zone 2,ETH,ET0202,ET02,0,2018-05-01
Ethiopia,Amhara,Awi,ETH,ET0309,ET03,0,2018-05-01
Ethiopia,Benshangul/Gumuz,Mao Komo Special,ETH,ET0605,ET06,0,2018-05-01
Ethiopia,Dire Dawa,Dire Dawa rural,ETH,ET1502,ET15,0,2018-05-01
Ethiopia,Harari,Harari,ETH,ET1301,ET13,0,2018-05-01
Ethiopia,Oromia,Jimma,ETH,ET0404,ET04,0,2018-05-01
Ethiopia,Afar,Awsi-Zone 1,ETH,ET0201,ET02,0,2018-05-01
Ethiopia,Amhara,North Shewa,ETH,ET0305,ET03,0,2018-05-01
Ethiopia,Amhara,Oromia,ETH,ET0310,ET03,4,2018-05-01
Ethiopia,Gambela,Agnewak,ETH,ET1202,ET12,0,2018-05-01
Ethiopia,Oromia,South West Shewa,ETH,ET0413,ET04,0,2018-05-01
Ethiopia,Oromia,West Guji,ETH,ET0415,ET04,0,2018-05-01
Ethiopia,SNNP,Halaba,ETH,ET0714,ET07,0,2018-05-01
Ethiopia,South West,Konta Special,ETH,ET1106,ET11,0,2018-05-01
Ethiopia,Somali,Daawa,ETH,ET0511,ET05,0,2018-05-01
Ethiopia,Somali,Erer,ETH,ET0504,ET05,0,2018-05-01
Ethiopia,Somali,Nogob,ETH,ET0510,ET05,0,2018-05-01
Ethiopia,Tigray,Eastern Tigray,ETH,ET0103,ET01,0,2018-05-01
Ethiopia,Amhara,North Gondar,ETH,ET0301,ET03,0,2018-05-01
Ethiopia,Amhara,North Wello,ETH,ET0303,ET03,0,2018-05-01
Ethiopia,Gambela,Nuwer,ETH,ET1201,ET12,0,2018-05-01
Ethiopia,Oromia,Ilu Aba Bora,ETH,ET0403,ET04,0,2018-05-01
